,Date,Day,Name,Type,Details
93,Apr 7,Sunday,Day of Remembrance of the Victims of the Rwanda Genocide,United Nations observance, 
94,Apr 9,Tuesday,National Library Workers' Day,Observance, 
95,Apr 12,Friday,International Day of Human Space Flight,United Nations observance, 
96,Apr 13,Saturday,Thomas Jefferson's Birthday,Observance, 
97,Apr 14,Sunday,Palm Sunday,Christian, 
98,Apr 15,Monday,Tax Day,Observance, 
99,Apr 15,Monday,Father Damien Day,Local observance,Hawaii
100,Apr 15,Monday,Patriot's Day,State holiday,"Maine, Massachusetts"
101,Apr 15,Monday,Boston Marathon,Sporting event, 
102,Apr 16,Tuesday,Emancipation Day,State holiday,District of Columbia
103,Apr 18,Thursday,Maundy Thursday,Christian, 
104,Apr 18,Thursday,International Day for Monuments and Sites,Worldwide observance, 
105,Apr 19,Friday,Good Friday,State holiday,"CT,DE,HI,IN,KY,LA,NC,ND,NJ,TN,TX***,"
106,Apr 20,Saturday,Holy Saturday,Christian, 
107,Apr 20,Saturday,Passover (first day),Jewish holiday, 
108,Apr 20,Saturday,Chinese Language Day,United Nations observance, 
109,Apr 21,Sunday,Easter Sunday,"Observance, Christian", 
110,Apr 21,Sunday,San Jacinto Day,State holiday,Texas
111,Apr 22,Monday,Earth Day,United Nations observance, 
112,Apr 22,Monday,Easter Monday,"Observance, Christian", 
113,Apr 22,Monday,Oklahoma Day,Local observance,Oklahoma
114,Apr 22,Monday,Confederate Memorial Day,State holiday,Alabama
115,Apr 22,Monday,State Holiday,State holiday,Georgia
116,Apr 23,Tuesday,World Book and Copyright Day,United Nations observance, 
117,Apr 23,Tuesday,English Language Day,United Nations observance, 
118,Apr 24,Wednesday,Administrative Professionals Day,Observance, 
119,Apr 25,Thursday,World Malaria Day,United Nations observance, 
120,Apr 25,Thursday,Take our Daughters and Sons to Work Day,Observance, 
121,Apr 26,Friday,Orthodox Good Friday,Orthodox, 
122,Apr 26,Friday,World Intellectual Property Day,United Nations observance, 
123,Apr 26,Friday,International Chernobyl Disaster Remembrance Day,United Nations observance, 
124,Apr 26,Friday,Arbor Day,State holiday,Nebraska
125,Apr 26,Friday,Confederate Heroes' Day,Local observance,Florida
126,Apr 27,Saturday,Last Day of Passover,Jewish holiday, 
127,Apr 27,Saturday,Orthodox Holy Saturday,Orthodox, 
128,Apr 28,Sunday,Orthodox Easter,Orthodox, 
129,Apr 28,Sunday,World Day for Safety and Health at Work,United Nations observance, 
130,Apr 29,Monday,Orthodox Easter Monday,Orthodox, 
131,Apr 29,Monday,Day of Remembrance for all Victims of Chemical Warfare,United Nations observance, 
132,Apr 29,Monday,Confederate Memorial Day,State holiday,Mississippi
133,Apr 30,Tuesday,International Jazz Day,United Nations observance, 
134,May 1,Wednesday,Yom HaShoah,Jewish commemoration, 
135,May 1,Wednesday,Law Day,Observance, 
136,May 1,Wednesday,Loyalty Day,Observance, 
137,May 1,Wednesday,Lei Day,Local observance,Hawaii
138,May 2,Thursday,World Tuna Day,United Nations observance, 
139,May 2,Thursday,National Day of Prayer,Observance, 
140,May 3,Friday,World Press Freedom Day,United Nations observance, 
141,May 3,Friday,Kentucky Oaks,Sporting event, 
142,May 4,Saturday,Kent State Shootings Remembrance,Local observance,Ohio
143,May 4,Saturday,Kentucky Derby,Sporting event, 
144,May 4,Saturday,Rhode Island Independence Day,Local observance,Rhode Island
145,May 4,Saturday,National Explosive Ordnance Disposal (EOD) Day,Observance, 
146,May 5,Sunday,Cinco de Mayo,Observance, 
147,May 6,Monday,Ramadan Starts,Muslim, 
148,May 6,Monday,National Nurses Day,Observance, 
149,May 8,Wednesday,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,United Nations observance, 
150,May 8,Wednesday,World Ovarian Cancer Day,Worldwide observance, 
151,May 8,Wednesday,Truman Day,State holiday,Missouri
152,May 9,Thursday,Yom Ha'atzmaut,Jewish holiday, 
153,May 10,Friday,Confederate Memorial Day,State holiday,South Carolina
154,May 10,Friday,Confederate Memorial Day,Local observance,North Carolina
155,May 10,Friday,Military Spouse Appreciation Day,Observance, 
156,May 11,Saturday,World Migratory Bird Day,United Nations observance, 
157,May 12,Sunday,International Nurses Day,Worldwide observance, 
158,May 12,Sunday,Mother's Day,Observance, 
159,May 15,Wednesday,International Day of Families,United Nations observance, 
160,May 15,Wednesday,Peace Officers Memorial Day,Observance, 
161,May 17,Friday,World Information Society Day,United Nations observance, 
162,May 17,Friday,National Defense Transportation Day,Observance, 
163,May 18,Saturday,Armed Forces Day,Observance, 
164,May 18,Saturday,Preakness Stakes,Sporting event, 
165,May 19,Sunday,Day of Vesak,United Nations observance, 
166,May 20,Monday,World Autoimmune / Autoinflammatory Arthritis Day,Worldwide observance, 
167,May 21,Tuesday,World Day for Cultural Diversity for Dialogue and Development,United Nations observance, 
168,May 22,Wednesday,International Day for Biological Diversity,United Nations observance, 
169,May 22,Wednesday,Emergency Medical Services for Children Day,Observance, 
170,May 22,Wednesday,National Maritime Day,Observance, 
171,May 22,Wednesday,Harvey Milk Day,Local observance,California
172,May 23,Thursday,Lag BaOmer,Jewish holiday, 
173,May 23,Thursday,International Day to End Obstetric Fistula,United Nations observance, 
174,May 25,Saturday,African Liberation Day,Worldwide observance, 
175,May 25,Saturday,National Missing Children's Day,Observance, 
176,May 27,Monday,Memorial Day,Federal Holiday, 
177,May 27,Monday,Jefferson Davis' Birthday,Local observance,Mississippi
178,May 29,Wednesday,International Day of United Nations Peacekeepers,United Nations observance, 
179,May 30,Thursday,Ascension Day,Christian, 
180,May 31,Friday,World No Tobacco Day,United Nations observance, 
181,Jun 1,Saturday,Lailat al-Qadr,Muslim, 
182,Jun 1,Saturday,Global Day of Parents,United Nations observance, 
183,Jun 1,Saturday,Statehood Day,Local observance,"Kentucky, Tennessee"
184,Jun 3,Monday,Jefferson Davis' Birthday,State holiday,Alabama
185,Jun 3,Monday,Jefferson Davis' Birthday,Local observance,Florida
186,Jun 4,Tuesday,Eid al-Fitr,Muslim, 
187,Jun 4,Tuesday,International Day of Innocent Children Victims of Aggression,United Nations observance, 
188,Jun 5,Wednesday,World Environment Day,United Nations observance, 
189,Jun 6,Thursday,D-Day,Observance, 
190,Jun 8,Saturday,World Oceans Day,United Nations observance, 
191,Jun 8,Saturday,Belmont Stakes,Sporting event, 
192,Jun 9,Sunday,Pentecost,Christian, 
193,Jun 9,Sunday,Shavuot,Jewish holiday, 
194,Jun 10,Monday,Whit Monday,Christian, 
195,Jun 11,Tuesday,Kamehameha Day,State holiday,Hawaii
196,Jun 12,Wednesday,World Day Against Child Labour,United Nations observance, 
197,Jun 13,Thursday,International Albinism Awareness Day,United Nations observance, 
198,Jun 14,Friday,World Blood Donor Day,United Nations observance, 
199,Jun 14,Friday,Army Birthday,Observance, 
200,Jun 14,Friday,Flag Day,Observance, 
201,Jun 15,Saturday,World Elder Abuse Awareness Day,United Nations observance, 
202,Jun 16,Sunday,Trinity Sunday,Christian, 
203,Jun 16,Sunday,International Day of Family Remittances,United Nations observance, 
204,Jun 16,Sunday,Father's Day,Observance, 
205,Jun 16,Sunday,Bunker Hill Day,Local observance,Massachusetts
206,Jun 17,Monday,World Day to Combat Desertification and Drought,United Nations observance, 
207,Jun 19,Wednesday,International Day for the Elimination of Sexual Violence in Conflict,United Nations observance, 
208,Jun 19,Wednesday,Emancipation Day,State holiday,Texas
209,Jun 19,Wednesday,Juneteenth,Local observance,"All except HI,MT,ND,SD,TX,"
210,Jun 20,Thursday,World Refugee Day,United Nations observance, 
211,Jun 20,Thursday,West Virginia Day,State holiday,West Virginia
212,Jun 20,Thursday,American Eagle Day,Observance, 
213,Jun 21,Friday,June Solstice,Season, 
214,Jun 21,Friday,International Day of Yoga,United Nations observance, 
215,Jun 23,Sunday,Corpus Christi,Christian, 
216,Jun 23,Sunday,Public Service Day,United Nations observance, 
217,Jun 23,Sunday,International Widows' Day,United Nations observance, 
218,Jun 25,Tuesday,Day of the Seafarer,United Nations observance, 
219,Jun 26,Wednesday,International Day Against Drug Abuse and Illicit Trafficking,United Nations observance, 
220,Jun 26,Wednesday,International Day in Support of Victims of Torture,United Nations observance, 
221,Jun 30,Sunday,International Asteroid Day,United Nations observance, 
222,Jul 4,Thursday,Independence Day,Federal Holiday, 
223,Jul 5,Friday,Independence Day Holiday,State Government Holiday,"Maryland, West Virginia"
224,Jul 6,Saturday,International Day of Cooperatives,United Nations observance, 
225,Jul 11,Thursday,World Population Day,United Nations observance, 
226,Jul 14,Sunday,Bastille Day,Observance, 
227,Jul 15,Monday,World Youth Skills Day,United Nations observance, 
228,Jul 18,Thursday,Nelson Mandela Day,United Nations observance, 
229,Jul 24,Wednesday,Pioneer Day,State holiday,Utah
230,Jul 27,Saturday,National Korean War Veterans Armistice Day,Observance, 
231,Jul 28,Sunday,World Hepatitis Day,United Nations observance, 
232,Jul 28,Sunday,Parents' Day,Observance, 
233,Jul 30,Tuesday,International Day of Friendship,United Nations observance, 
234,Jul 30,Tuesday,World Day against Trafficking in Persons,United Nations observance, 
235,Aug 1,Thursday,Colorado Day,Local observance,Colorado
236,Aug 4,Sunday,Coast Guard Birthday,Observance, 
237,Aug 7,Wednesday,Purple Heart Day,Observance, 
238,Aug 9,Friday,International Day of the World's Indigenous People,United Nations observance, 
